fdate,market_volume,ln_market_volume
2000-02-25,1065200000,20.78642841190405
2000-02-28,1026500000,20.749420794423262
2000-02-29,1204300000,20.90916432223071
2000-03-01,1274100000,20.96550588395161
2000-03-02,1198600000,20.90442004598836
2000-03-03,1150300000,20.86328861486624
2000-03-06,1029000000,20.751853293798323
2000-03-07,1314100000,20.996417857613867
2000-03-08,1203000000,20.908084273938954
2000-03-09,1123000000,20.839269512702717
2000-03-10,1138800000,20.853240913368158
2000-03-13,1016100000,20.73923760645611
2000-03-14,1094000000,20.8131065409462
2000-03-15,1302800000,20.987781631366353
2000-03-16,1482300000,21.116860772484088
2000-03-17,1295100000,20.981853749193817
2000-03-20,920800000,20.640753415371947
2000-03-21,1065900000,20.787085349659364
2000-03-22,1075000000,20.79558649852604
2000-03-23,1078300000,20.7986515638523
2000-03-24,1052200000,20.77414904726098
2000-03-27,901000000,20.619015815572613
2000-03-28,959100000,20.68150590269818
2000-03-29,1061900000,20.783325593374073
2000-03-30,1193400000,20.900072213052255
2000-03-31,1227400000,20.92816394791927
2000-04-03,1021700000,20.744733743561653
2000-04-04,1515460000,21.13898486018441
2000-04-05,1110300000,20.827896086024495
2000-04-06,1008000000,20.73123400659559
2000-04-07,891600000,20.608528159475988
2000-04-10,853700000,20.565090401980534
2000-04-11,971400000,20.69424888787592
2000-04-12,1175900000,20.885299648793644
2000-04-13,1032000000,20.75476450400578
2000-04-14,1279700000,20.969891512407823
2000-04-17,1204700000,20.909496410237082
2000-04-18,1109400000,20.82708516558541
2000-04-19,1001400000,20.72466485786012
2000-04-20,896200000,20.613674160316318
2000-04-24,868700000,20.58250839923015
2000-04-25,1071100000,20.79195199473486
2000-04-26,999600000,20.72286575692507
2000-04-27,1111000000,20.828526347603905
2000-04-28,984600000,20.707746025288376
2000-05-01,966300000,20.688984902969537
2000-05-02,1011500000,20.734700214572076
2000-05-03,991600000,20.714830358125308
2000-05-04,925800000,20.646168786561443
2000-05-05,805500000,20.506973760581303
2000-05-08,787600000,20.484500904729245
2000-05-09,896600000,20.614120389685613
2000-05-10,1006400000,20.72964544391045
2000-05-11,953600000,20.67575485427536
2000-05-12,858200000,20.5703477305217
2000-05-15,854600000,20.566144081174198
2000-05-16,955500000,20.6777453216446
2000-05-17,820500000,20.52542446849442
2000-05-18,807900000,20.509948846449937
2000-05-19,853700000,20.565090401980534
2000-05-22,869000000,20.582853683229665
2000-05-23,869900000,20.583888820477767
2000-05-24,1152300000,20.865025781984244
2000-05-25,984500000,20.707644456043454
2000-05-26,722600000,20.398366376677814
2000-05-30,844200000,20.553899991312672
2000-05-31,960500000,20.682964540172886
2000-06-01,960100000,20.68254800366785
2000-06-02,1162400000,20.873752670220348
2000-06-05,838600000,20.547244392700936
2000-06-06,950100000,20.67207780017698
2000-06-07,854600000,20.566144081174198
2000-06-08,854300000,20.56579297812185
2000-06-09,786000000,20.48246735039348
2000-06-12,774100000,20.467211622174943
2000-06-13,935900000,20.657019191127485
2000-06-14,929700000,20.650372511426088
2000-06-15,1011400000,20.734601346610155
2000-06-16,1250800000,20.94704918354796
2000-06-19,921700000,20.641730348963893
2000-06-20,1031500000,20.75427989047558
2000-06-21,1009600000,20.732820049751222
2000-06-22,1022700000,20.745712025776243
2000-06-23,847600000,20.557919384358417
2000-06-26,889000000,20.60560779347818
2000-06-27,1042500000,20.76488751163723
2000-06-28,1095100000,20.814111520245987
2000-06-29,1110900000,20.828436334551952
2000-06-30,1459700000,21.101496772100806
2000-07-03,451900000,19.92897147438151
2000-07-05,1019300000,20.74238195413864
2000-07-06,947300000,20.66912639084576
2000-07-07,931700000,20.652521432420652
2000-07-10,838700000,20.54736363195464
2000-07-11,980500000,20.703573203600676
2000-07-12,1001200000,20.724465117521895
2000-07-13,1026800000,20.749713006961258
2000-07-14,960600000,20.683068647194997
2000-07-17,906000000,20.624549864007253
2000-07-18,908300000,20.627085278472443
2000-07-19,909400000,20.628295599355184
2000-07-20,1064600000,20.785864978702932
2000-07-21,968300000,20.69105251458176
2000-07-24,880300000,20.595773316431135
2000-07-25,969400000,20.69218788137555
2000-07-26,1235800000,20.934984370591152
2000-07-27,1156400000,20.868577568106463
2000-07-28,980000000,20.70306312962889
2000-07-31,952600000,20.674705646331034
2000-08-01,938700000,20.66000649730722
2000-08-02,994500000,20.7177506562583
2000-08-03,1095600000,20.814567995353197
2000-08-04,956000000,20.678268471015674
2000-08-07,854800000,20.566378081409265
2000-08-08,992200000,20.715435257831224
2000-08-09,1054000000,20.77585828706558
2000-08-10,940800000,20.662241135108637
2000-08-11,835500000,20.543540905999723
2000-08-14,783800000,20.479664443729806
2000-08-15,895900000,20.613339357567806
2000-08-16,929800000,20.65048006722076
2000-08-17,922400000,20.642489526919125
2000-08-18,821400000,20.526520759486733
2000-08-21,731600000,20.410744474480985
2000-08-22,818800000,20.52335041175141
2000-08-23,871000000,20.58515253481678
2000-08-24,837100000,20.545454095630284
2000-08-25,685600000,20.345804925247844
2000-08-28,733600000,20.41347447890653
2000-08-29,795600000,20.49460710494409
2000-08-30,818400000,20.52286177260169
2000-08-31,1056600000,20.77832204269449
2000-09-01,767700000,20.458909589798125
2000-09-05,838500000,20.54712513922754
2000-09-06,995100000,20.71835379258539
2000-09-07,985500000,20.70865968455705
2000-09-08,961000000,20.683484966934568
2000-09-11,899300000,20.617127240884745
2000-09-12,991200000,20.714426888279206
2000-09-13,1068300000,20.789334436916114
2000-09-14,1014000000,20.737168742115404
2000-09-15,1268400000,20.961022100628465
2000-09-18,962500000,20.685044624126213
2000-09-19,1024900000,20.747860883801792
2000-09-20,1104000000,20.822205784801316
2000-09-21,1105400000,20.823473097363436
2000-09-22,1185500000,20.893430463469734
2000-09-25,982400000,20.705509115357152
2000-09-26,1106600000,20.824558088428283
2000-09-27,1174700000,20.884278632794114
2000-09-28,1206200000,20.91074075898116
2000-09-29,1197100000,20.9031678022216
2000-10-02,1051200000,20.77319820569462
2000-10-03,1098100000,20.816847250567942
2000-10-04,1167400000,20.878044890733964
2000-10-05,1176100000,20.885469716821266
2000-10-06,1150100000,20.863114732062808
2000-10-09,716600000,20.390028362835128
2000-10-10,1044000000,20.766325326406857
2000-10-11,1387500000,21.050769403584862
2000-10-12,1388600000,21.051561882283448
2000-10-13,1223900000,20.925308318352567
2000-10-16,1005400000,20.728651309222748
2000-10-17,1161500000,20.87297811017474
2000-10-18,1441700000,21.089088809782133
2000-10-19,1297900000,20.984013410657987
2000-10-20,1177400000,20.886574454558435
2000-10-23,1046800000,20.769003728620266
2000-10-24,1158600000,20.870478216626797
2000-10-25,1315600000,20.997558672279176
2000-10-26,1303800000,20.988548914454714
2000-10-27,1086300000,20.80604326340398
2000-10-30,1186500000,20.894273633840093
2000-10-31,1366400000,21.035445380998578
2000-11-01,1206800000,20.91123806524918
2000-11-02,1167700000,20.878301839045943
2000-11-03,997700000,20.720963187883736
2000-11-06,930900000,20.65166241808672
2000-11-07,880900000,20.596454670080025
2000-11-08,909300000,20.62818563069614
2000-11-09,1111000000,20.828526347603905
2000-11-10,962500000,20.685044624126213
2000-11-13,1129300000,20.844863808693898
2000-11-14,1118800000,20.835522519292077
2000-11-15,1066800000,20.787929350272133
2000-11-16,956300000,20.678582229319773
2000-11-17,1070400000,20.791298247338236
2000-11-20,955800000,20.678059244108333
2000-11-21,1137100000,20.85174699859495
2000-11-22,963200000,20.68577163251883
2000-11-24,404870000,19.81907658588893
2000-11-27,946100000,20.66785882967467
2000-11-28,1028200000,20.751075537585677
2000-11-29,402100000,19.8122113718675
2000-11-30,1186530000,20.89429891797051
2000-12-01,1195200000,20.901579372342827
2000-12-04,1103000000,20.821299577217776
2000-12-05,900300000,20.618238599078705
2000-12-06,1399300000,21.059237948525944
2000-12-07,1128000000,20.84371199002228
2000-12-08,1358300000,21.02949975479272
2000-12-11,1202400000,20.90758539640304
2000-12-12,1083400000,20.803370081188074
2000-12-13,1195100000,20.90149570083711
2000-12-14,1061300000,20.782760408732052
2000-12-15,1561100000,21.168656537926896
2000-12-18,1189900000,20.897135106925383
2000-12-19,1324900000,21.00460282183835
2000-12-20,1421600000,21.075048834804715
2000-12-21,1449900000,21.094760425483422
2000-12-22,1087100000,20.806779437174228
2000-12-26,806500000,20.508214455529536
2000-12-27,1092700000,20.811917534540974
2000-12-28,1015300000,20.73844997227145
2000-12-29,1035500000,20.758150238799914
2001-01-02,1129400000,20.84495235520301
2001-01-03,1880700000,21.354909884912306
2001-01-04,2131000000,21.47985719006289
2001-01-05,1430800000,21.081499565349137
2001-01-08,1115500000,20.832568571836863
2001-01-09,1191300000,20.89831098476959
2001-01-10,1296500000,20.982934162942993
2001-01-11,1411200000,21.0677062432168
2001-01-12,1276000000,20.966996021869008
2001-01-16,1205700000,20.910326148087538
2001-01-17,1349100000,21.022703540409047
2001-01-18,1445000000,21.091375158510807
2001-01-19,1407800000,21.065294039138305
2001-01-22,1164000000,20.875128186255658
2001-01-23,1232600000,20.932391596492415
2001-01-24,1309000000,20.992529323874173
2001-01-25,1258000000,20.952788995224658
2001-01-26,1098000000,20.81675618003375
2001-01-29,1053100000,20.775004032350825
2001-01-30,1149800000,20.862853851153464
2001-01-31,1295300000,20.982008165500485
2001-02-01,1118800000,20.835522519292077
2001-02-02,1048400000,20.770531029413526
2001-02-05,1013000000,20.736182062212958
2001-02-06,1059600000,20.78115731536219
2001-02-07,1158300000,20.870219249902576
2001-02-08,1107200000,20.82510014282768
2001-02-09,1075500000,20.796051506672057
2001-02-12,1039100000,20.761620790822874
2001-02-13,1075200000,20.79577252773316
2001-02-14,1150300000,20.86328861486624
2001-02-15,1153700000,20.866240005897517
2001-02-16,1257200000,20.952152862887687
2001-02-20,1112200000,20.82960587271774
2001-02-21,1208500000,20.91264575810781
2001-02-22,1365900000,21.03507938897312
2001-02-23,1231300000,20.9313363587631
2001-02-26,1130800000,20.84619118378371
2001-02-27,1114100000,20.831312741029546
2001-02-28,1225300000,20.926451548919676
2001-03-01,1294900000,20.98169930903907
2001-03-02,1294000000,20.98100403302512
2001-03-05,929200000,20.64983455886053
2001-03-06,1091800000,20.81109354731193
2001-03-07,1132200000,20.847428479566833
2001-03-08,1114100000,20.831312741029546
2001-03-09,1085900000,20.805674973187127
2001-03-12,1229000000,20.92946666753031
2001-03-13,1360900000,21.031412082530547
2001-03-14,1397400000,21.057879204082624
2001-03-15,1259500000,20.95398065375694
2001-03-16,1543560000,21.157357273842898
2001-03-19,1126200000,20.84211497078479
2001-03-20,1235900000,20.935065286559965
2001-03-21,1346300000,21.020625925949464
2001-03-22,1723950000,21.26788400644715
2001-03-23,1364900000,21.034347002826426
2001-03-26,1114000000,20.831222978451503
2001-03-27,1314200000,20.996493952428043
2001-03-28,1333400000,21.010997908148234
2001-03-29,1234500000,20.933931866749507
2001-03-30,1280800000,20.97075071964678
2001-04-02,1254900000,20.950321725080535
2001-04-03,1386100000,21.049759885183583
2001-04-04,1425590000,21.07785160006587
2001-04-05,1368000000,21.03661565614677
2001-04-06,1266800000,20.95975987262876
2001-04-09,1062800000,20.78417277184993
